# λ	f(λ)
-54.4369802933064	-26.1050626217468
-54.4269802933064	-26.0753467819141
-54.4169802933064	-26.0456125055719
-54.4069802933064	-26.0158597655965
-54.3969802933064	-25.9860885348104
-54.3869802933064	-25.9562987859817
-54.3769802933064	-25.9264904918241
-54.3669802933064	-25.8966636249968
-54.3569802933064	-25.866818158104
-54.3469802933064	-25.8369540636954
-54.3369802933064	-25.8070713142656
-54.3269802933064	-25.777169882254
-54.3169802933064	-25.7472497400449
-54.3069802933064	-25.7173108599671
-54.2969802933064	-25.6873532142939
-54.2869802933064	-25.6573767752429
-54.2769802933064	-25.6273815149758
-54.2669802933064	-25.5973674055986
-54.2569802933064	-25.567334419161
-54.2469802933064	-25.5372825276565
-54.2369802933064	-25.5072117030222
-54.2269802933064	-25.4771219171387
-54.2169802933064	-25.4470131418299
-54.2069802933064	-25.4168853488629
-54.1969802933064	-25.3867385099479
-54.1869802933064	-25.356572596738
-54.1769802933064	-25.3263875808289
-54.1669802933064	-25.2961834337591
-54.1569802933064	-25.2659601270094
-54.1469802933064	-25.2357176320031
-54.1369802933064	-25.2054559201055
-54.1269802933064	-25.175174962624
-54.1169802933064	-25.1448747308077
-54.1069802933064	-25.1145551958479
-54.0969802933064	-25.0842163288769
-54.0869802933064	-25.0538581009687
-54.0769802933064	-25.0234804831387
-54.0669802933064	-24.9930834463433
-54.0569802933064	-24.9626669614797
-54.0469802933064	-24.9322309993863
-54.0369802933064	-24.9017755308418
-54.0269802933064	-24.8713005265657
-54.0169802933064	-24.8408059572178
-54.0069802933064	-24.810291793398
-53.9969802933064	-24.7797580056464
-53.9869802933065	-24.7492045644429
-53.9769802933065	-24.7186314402073
-53.9669802933065	-24.6880386032989
-53.9569802933065	-24.6574260240165
-53.9469802933065	-24.6267936725982
-53.9369802933065	-24.5961415192211
-53.9269802933065	-24.5654695340014
-53.9169802933065	-24.5347776869942
-53.9069802933065	-24.504065948193
-53.8969802933065	-24.4733342875301
-53.8869802933065	-24.442582674876
-53.8769802933065	-24.4118110800394
-53.8669802933065	-24.3810194727671
-53.8569802933065	-24.3502078227436
-53.8469802933065	-24.3193760995912
-53.8369802933065	-24.2885242728699
-53.8269802933065	-24.2576523120769
-53.8169802933065	-24.2267601866466
-53.8069802933065	-24.1958478659506
-53.7969802933065	-24.1649153192973
-53.7869802933065	-24.1339625159319
-53.7769802933065	-24.1029894250361
-53.7669802933065	-24.0719960157281
-53.7569802933065	-24.0409822570623
-53.7469802933065	-24.0099481180291
-53.7369802933065	-23.9788935675549
-53.7269802933065	-23.9478185745018
-53.7169802933065	-23.9167231076674
